,phrase,label,sentiment,subjectivity,language,count
NHC,NHC,ORG,-0.8061224489795918,0.0,de,4.9
Deutschen Wetterdienstes,Deutschen Wetterdienstes,ORG,-1.0204081632653061,0.0,de,4.9
GEO,GEO,ORG,1.842105263157895,0.0,de,3.8
D…,D…,ORG,0.0,0.0,de,3.0
Zentrum des Wirbelsturms,Zentrum des Wirbelsturms,ORG,-0.11666666666666665,0.0,de,3.0
"Link
","Link
",ORG,-0.31034482758620685,0.1724137931034483,de,2.9
US-Hurrikanzentrum,US-Hurrikanzentrum,ORG,-0.6071428571428572,0.0,de,2.8
DWD,DWD,ORG,-1.0,0.0,de,2.0
Haitis Regierung,Haitis Regierung,ORG,0.35,0.0,de,2.0
jamaikanischen Polizei,jamaikanischen Polizei,ORG,0.0,0.0,de,2.0
Rote Kreuz,Rote Kreuz,ORG,-0.7,0.0,de,2.0
israelischen Armee,israelischen Armee,ORG,0.0,0.0,de,2.0
Hamas,Hamas,ORG,0.0,0.0,de,2.0
US-Hurrikanzentrum NHC,US-Hurrikanzentrum NHC,ORG,-0.5,0.0,de,2.0
we…,we…,ORG,0.0,0.0,de,2.0
U.S.…,U.S.…,ORG,0.0,0.0,de,1.9
Muni…,Muni…,ORG,0.0,0.0,de,1.9
Shell,Shell,ORG,-0.3684210526315789,0.0,de,1.9
https://epaper.welt.de,https://epaper.welt.de,ORG,0.0,0.0,de,1.8
KI-Modell,KI-Modell,ORG,0.0,0.0,de,1.7
Fol…,Fol…,ORG,0.0,0.0,de,1.0
Ü…,Ü…,ORG,0.0,0.0,de,1.0
Phi…,Phi…,ORG,0.0,0.0,de,1.0
AFP,AFP,ORG,-0.7,0.0,de,1.0
KI WELT,KI WELT,ORG,0.0,0.0,de,1.0
Opf…,Opf…,ORG,0.0,0.0,de,1.0
…,…,ORG,0.0,0.0,de,1.0
Überschwemm…,Überschwemm…,ORG,0.0,0.0,de,1.0
Jamaika,Jamaika,ORG,0.7,0.0,de,1.0
Kirc…,Kirc…,ORG,0.0,0.0,de,1.0
nan,nan,ORG,0.0,0.0,de,1.0
Hurri…,Hurri…,ORG,0.0,0.0,de,1.0
d…,d…,ORG,-0.7,0.0,de,1.0
Vereinten Nationen,Vereinten Nationen,ORG,0.0,0.0,de,1.0
Vo…,Vo…,ORG,0.0,0.0,de,1.0
We…,We…,ORG,0.0,0.0,de,1.0
Z…,Z…,ORG,0.0,0.0,de,1.0
Windgeschw…,Windgeschw…,ORG,0.0,0.0,de,1.0
Taiwan …,Taiwan …,ORG,-0.7,0.0,de,1.0
Sonn…,Sonn…,ORG,0.0,0.0,de,1.0
Reuters14.11.2025,Reuters14.11.2025,ORG,0.0,0.0,de,1.0
Bundestag,Bundestag,ORG,0.0,0.0,de,1.0
"Japan Coast Guard/Reuters
","Japan Coast Guard/Reuters
",ORG,0.0,0.0,de,1.0
Sonnta…,Sonnta…,ORG,0.0,0.0,de,1.0
Fung…,Fung…,ORG,0.7,0.0,de,1.0
Getty Images,Getty Images,ORG,0.0,0.0,de,1.0
Militär,Militär,ORG,0.0,0.0,de,1.0
Der Zyklon Ditwah,Der Zyklon Ditwah,ORG,-1.0,0.0,de,1.0
PAGASA,PAGASA,ORG,0.0,0.0,de,1.0
US-Sanktionen,US-Sanktionen,ORG,0.0,0.0,de,1.0
nationalen philippinischen Wetterdienst,nationalen philippinischen Wetterdienst,ORG,0.0,0.0,de,1.0
NZZ,NZZ,ORG,0.0,0.0,de,1.0
Taifuns Fung-wong,Taifuns Fung-wong,ORG,-0.7,0.0,de,1.0
Philippinen,Philippinen,ORG,0.0,0.0,de,1.0
Zyklon Ditwah,Zyklon Ditwah,ORG,0.0,0.0,de,1.0
unerbittli…,unerbittli…,ORG,-0.7,0.0,de,1.0
Katastrophenschutzbehörde,Katastrophenschutzbehörde,ORG,0.7,0.0,de,1.0
Autos…,Autos…,ORG,-0.5666666666666667,0.0,de,1.0
Windgeschwindigke…,Windgeschwindigke…,ORG,0.0,0.0,de,1.0
zw…,zw…,ORG,0.15000000000000002,0.0,de,1.0
US-Blockade,US-Blockade,ORG,0.0,0.0,de,1.0
